image_path,plate_text
images/MP10_crop.jpg,MP08CA6293
images/C (20)_crop.jpg,AFR2011
images/C (183)_crop.jpg,V12LAF
images/C (169)_crop.jpg,UP36AK2222
images/y (476)_crop.jpg,AP07EA8238
images/y (231)_crop.jpg,07BE4663
images/BR18_crop.jpg,BR01BD5042
images/C (344)_crop.jpg,SKIPGAS
images/JH10_crop.jpg,JH0AD2533
images/y (324)_crop.jpg,AP07CZ4887
images/C (114)_crop.jpg,MPEACHW
images/y (27)_crop.jpg,AP07CS8962
images/y (771)_crop.jpg,AP07CR0040
images/PB20_crop.jpg,PB31R8123
images/DL3_crop.jpg,DL8CAU6883
images/KA10_crop.jpg,KA04MG7528
images/HP17_crop.jpg,HP20E3953
images/C (416)_crop.jpg,MH12NE8922
images/HR6_crop.jpg,HR26DJ8832
images/KA1_crop.jpg,KA03MQ6984
images/KA19_crop.jpg,KA03MQ6984
images/NL8_crop.jpg,NL07T0937
images/y (487)_crop.jpg,AP40CG8805
images/GJ16_crop.jpg,GJ01KC9959
images/UP20_crop.jpg,UP14AK8604
images/C (330)_crop.jpg,16M
images/AN6_crop.jpg,AN01H1689
images/y (707)_crop.jpg,AP39HU2393
images/y (714)_crop.jpg,AP39HU2393
images/y (104)_crop.jpg,AP07AQ5779
images/y (108)_crop.jpg,AP07AQ5779
images/y (741)_crop.jpg,AP07AZ3453
images/y (768)_crop.jpg,AP07AZ3453
images/C (292)_crop.jpg,KA02A6579
images/C (99)_crop.jpg,YWORRY
images/UP22_crop.jpg,UP11AY0646
images/DL23_crop.jpg,DL2CAX2886
images/C (35)_crop.jpg,DL7CN5617
images/WB14_crop.jpg,WB36G6682
images/y (367)_crop.jpg,AP39EW8360
images/RJ9_crop.jpg,RJ20UB0137
images/SK8_crop.jpg,SK01PA5349
images/BR6_crop.jpg,BR7P3952
images/TN7_crop.jpg,TN07BT5778
images/C (417)_crop.jpg,172TMJ
images/HR5_crop.jpg,HR26CC7676
images/C (81)_crop.jpg,BAD231
images/y (187)_crop.jpg,AP39NG7373
images/y (450)_crop.jpg,AP39NG7373
images/y (208)_crop.jpg,AP39LW8690
images/TS7_crop.jpg,TS08EZ9463
images/y (9)_crop.jpg,AP39FJ8090
images/y (14)_crop.jpg,AP39FJ8090
images/GA3_crop.jpg,GA01S5594
images/y (833)_crop.jpg,AP07BB2833
images/ML20_crop.jpg,ML137827
images/DL32_crop.jpg,DL2CAR0108
images/AP7_crop.jpg,AP31BL8656
images/y (795)_crop.jpg,AP39GY4714
images/y (305)_crop.jpg,AP27J8980
images/y (310)_crop.jpg,AP27J8980
images/TN3_crop.jpg,TN02AU9295
